1.358999999999999930e-01 4.965828373919385363e+00 1.148401250674908836e+00 2.052357990026676404e-03
1.902599999999999847e-01 4.965552965903077265e+00 1.054794568708054214e+00 2.052357990026676404e-03
2.446200000000000041e-01 6.978364791456535876e+00 3.348446279008976401e-01 1.546556056419845504e-04
2.989799999999999680e-01 7.412694480129553121e+00 2.466354241092102717e-01 1.546556056419845504e-04
3.533399999999999319e-01 7.786576065686762860e+00 1.211488616988165151e-01 4.642071278682102786e-05
4.076999999999998958e-01 7.645879114721112479e+00 5.283972131845346420e-02 2.996881622763236663e-05
4.620599999999999152e-01 7.815619354955526177e+00 8.015494795460433031e-02 2.078428179907998441e-05
5.164199999999998791e-01 7.915928109290806702e+00 3.140572313054948439e-02 2.078428179907998441e-05
5.707799999999998430e-01 8.406663286642197974e+00 5.704292057467016952e-02 1.164834273348347438e-05
6.251399999999998069e-01 8.160731356210163767e+00 6.628531020333575108e-03 8.588924183650092914e-06
6.794999999999998819e-01 8.013311842433241239e+00 3.798774453440287996e-02 7.053027287540203361e-06
7.338599999999997348e-01 7.881519258773027836e+00 2.080201101091532986e-02 5.920032834838551139e-06
7.882199999999998097e-01 8.179535058596444586e+00 3.048924874893645456e-02 5.061287679408721374e-06
8.425799999999997736e-01 7.988562021507327415e+00 4.098822232390663539e-02 4.395169990289993223e-06
8.969399999999997375e-01 8.113913663021325107e+00 5.490448143731416208e-02 3.868058223166492837e-06
9.512999999999998124e-01 8.358198585623423327e+00 1.654413776458469806e-02 3.868058223166492837e-06
1.005659999999999776e+00 8.281356843923960653e+00 1.293254002222556619e-02 2.994977574055646130e-06
1.060019999999999740e+00 8.292414164590205417e+00 1.826179864803655767e-02 2.994977574055646130e-06
1.114379999999999704e+00 8.218816364503567229e+00 7.252571861968105937e-02 2.496398242013420088e-06
1.168739999999999668e+00 8.066170418452150770e+00 4.289163150420189675e-03 2.496398242013420088e-06
1.223099999999999854e+00 8.237802486622554099e+00 3.452574026405921814e-02 2.136448949308089595e-06
1.277459999999999596e+00 8.374953249803398947e+00 4.518316843601336702e-02 1.992614669599213073e-06
